Time,Time Code,Country Name,Country Code,Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],"Employment in industry, female (% of female employment) (modeled ILO estimate) [SL.IND.EMPL.FE.ZS]","Employment in industry, male (% of male employment) (modeled ILO estimate) [SL.IND.EMPL.MA.ZS]",Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment in services, female (% of female employment) (modeled ILO estimate) [SL.SRV.EMPL.FE.ZS]","Employment in services, male (% of male employment) (modeled ILO estimate) [SL.SRV.EMPL.MA.ZS]","Employment in agriculture, male (% of male employment) (modeled ILO estimate) [SL.AGR.EMPL.MA.ZS]","Employment in agriculture, female (% of female employment) (modeled ILO estimate) [SL.AGR.EMPL.FE.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.FE.ZS]","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.MA.ZS]","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.ZS]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS],"Labor force with advanced education, female (% of female working-age population with advanced education) [SL.TLF.ADVN.FE.ZS]","Labor force with advanced education, male (% of male working-age population with advanced education) [SL.TLF.ADVN.MA.ZS]",Labor force with basic education (% of total working-age population with basic education) [SL.TLF.BASC.ZS],"Labor force with basic education, female (% of female working-age population with basic education) [SL.TLF.BASC.FE.ZS]","Labor force with basic education, male (% of male working-age population with basic education) [SL.TLF.BASC.MA.ZS]",Labor force with intermediate education (% of total working-age population with intermediate education) [SL.TLF.INTM.ZS],"Labor force with intermediate education, female (% of female working-age population with intermediate education) [SL.TLF.INTM.FE.ZS]","Labor force with intermediate education, male (% of male working-age population with intermediate education) [SL.TLF.INTM.MA.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Population, total [SP.POP.TOTL]","Population ages 65 and above, total [SP.POP.65UP.TO]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],Population ages 15-64 (% of total) [SP.POP.1564.TO.ZS],Population ages 0-14 (% of total) [SP.POP.0014.TO.ZS],Population density (people per sq. km of land area) [EN.POP.DNST],"Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]","Wage and salaried workers, male (% of male employment) (modeled ILO estimate) [SL.EMP.WORK.MA.ZS]","Wage and salaried workers, total (% of total employment) (modeled ILO estimate) [SL.EMP.WORK.ZS]","Automated teller machines (ATMs) (per 100,000 adults) [FB.ATM.TOTL.P5]"
2000,YR2000,United States,USA,13671.0520240061,2.24000000953674,5.50699996948242,4.02099990844727,23.32200050354,12.173999786377,32.6319999694824,74.8440017700195,86.8730010986328,64.7979965209961,2.56900000572205,0.953000009059906,1.83399999141693,59.0229988098145,74.2269973754883,66.4309997558594,74.2268981933594,84.5529022216797,79.309700012207,28.2973003387451,51.9124984741211,40.0872001647949,57.8895988464355,73.5848007202148,65.277099609375,146767599,282162411,34763336,12.3203286549649,65.9793978623758,21.7002734826593,30.7973013298523,91.5859985351563,86.2900009155273,88.6999969482422,..
2000,YR2000,United Kingdom,GBR,6114.52925918564,1.67200005054474,4.5,3.21199989318848,25.1669998168945,11.9530000686646,36.2210006713867,73.2979965209961,87.2730026245117,61.6080017089844,2.1710000038147,0.773999989032745,1.5349999666214,53.5540008544922,69.9380035400391,61.439998626709,86.9841995239258,92.1563034057617,89.7380981445313,63.4682998657227,76.8231964111328,69.0785980224609,77.9386978149414,86.192497253418,82.6612014770508,29295681,58892514,9359172,15.8919545991942,65.0721088863726,19.0359365144332,243.427908899268,92.1419982910156,83.9410018920898,87.6760025024414,..
2000,YR2000,European Union,EUU,5821.03076521761,2.77148652110681,6.90118622374967,5.12340982208139,29.3917528000509,16.7665260996448,38.9404072011347,62.6663096003983,75.8435102175281,52.7000743993881,8.35948639556747,7.38995444464815,7.94199235612855,47.7031810128057,65.9267149173644,56.4954632868562,78.5449022010074,82.3194854111433,80.5053249662684,34.678471795372,55.7980557240972,43.6277173679696,63.5300850127728,75.8696355984131,69.6430596093734,228526899,488178832,76645881,15.700369603202,67.1596078637365,17.1400225330616,115.084593201228,85.157377733118,79.046367672259,81.6770077022157,..
2000,YR2000,Europe & Central Asia,ECS,4940.30986223073,2.44404448502283,5.61611625551071,4.226874939557,27.9879700701973,17.4336056219333,36.2170336110155,57.2329728326121,67.8829323750181,48.9297915361499,14.8532197057291,14.6833265888568,14.7790967922433,48.672821960695,67.5242571721901,57.6562893267335,..,..,..,..,..,..,..,..,..,397686380,862304086,115094796,13.379401953958,66.8022584693147,19.8183395767273,31.4146098264201,81.3722093448129,77.6577628793482,79.2845780947133,..
2000,YR2000,Canada,CAN,16990.5783936795,3.2739999294281,7.50299978256226,5.56699991226196,22.4750003814697,11.1669998168945,32.0169982910156,74.2369995117188,86.9560012817383,63.5050010681152,4.47800016403198,1.87699997425079,3.28800010681152,58.6479988098145,72.1269989013672,65.2710037231445,74.2366027832031,82.8255004882813,78.5578994750977,42.8895988464355,60.4964981079102,51.7464981079102,63.6651992797852,77.1270980834961,70.0493011474609,16235249,30769700,3867867,12.570375243206,68.2675948966697,19.1620298601242,3.38369892373792,87.6360015869141,80.6139984130859,83.8280029296875,..
2000,YR2000,Colombia,COL,829.398941559141,2.26999998092651,5.59200000762939,4.49499988555908,18.121000289917,16.2350006103516,19.011999130249,60.2630004882813,78.4039993286133,51.701000213623,29.2819995880127,5.3730001449585,21.6149997711182,41.7190017700195,80.4550018310547,60.5989990234375,..,..,..,..,..,..,..,..,..,16763818,40403958,1915815,4.74165179559884,63.72570726858,31.5326409358212,36.4163659305994,51.5859985351563,47.923999786377,49.1339988708496,..
2000,YR2000,Mexico,MEX,1750.55615839426,1.98199999332428,5.57600021362305,4.40399980545044,27.0130004882813,22.1140003204346,29.3819999694824,55.3199996948242,71.1520004272461,47.6640014648438,22.9540004730225,6.73400020599365,17.6669998168945,38.882999420166,82.5690002441406,60.3160018920898,..,..,..,..,..,..,..,..,..,40336388,101719673,5129595,5.04287405642761,60.7016373322396,34.2554886113328,52.32628051133,64.5950012207031,63.4809989929199,63.8440017700195,..
2000,YR2000,Latin America & Caribbean,LCN,1587.78324582801,2.34433771436495,5.12784470227038,4.09849302898142,21.4118186037223,13.5344517619337,25.9529332026089,57.8104240244295,73.5501123416195,48.7149491335443,25.3310318401444,12.9170857927863,20.7776494000788,46.5683797731763,79.6648862684551,62.7555764358426,..,..,..,..,..,..,..,..,..,223198210,524829251,29186571,5.56386063165981,62.2927137040885,32.1434256642517,26.1854983791541,65.8611171291592,60.479031239152,62.469363847347,..
2000,YR2000,North America,NAC,13997.4513513572,2.34075536245358,5.69965560209539,4.17087063708033,23.2398914963383,12.075875371316,32.5726394742325,74.7851583867666,86.8810888291829,64.6731954787775,2.75325835622258,1.0430367109948,1.97495216230248,58.9853274689264,74.0128724774176,66.3136174347139,74.2278647803515,84.3803651673521,79.2349964334163,29.7507080715639,52.7698890755822,41.245740548242,58.4648545079804,73.9386139304231,65.7512952450638,163002848,312993944,38631203,12.344915005281,66.20438959001,21.450695404709,17.1452048371229,91.2011016614869,85.7421482325487,88.2277011580384,..
2000,YR2000,East Asia & Pacific,EAS,1664.72236723028,0.793701561095605,3.03693862845086,2.04918829917279,25.4351612884165,25.7302150142378,25.2040471771233,32.7125406908783,29.8554114889974,34.9613097223807,39.8346380163552,44.4142788873329,41.8517110872489,64.9249538972467,82.0206861331827,73.5286714429443,..,..,..,..,..,..,..,..,..,1117548732,2047150745,145119304,7.08959601821964,67.1676521055706,25.7427518762098,83.9431403986083,43.8566879764509,47.1765501951025,45.7149826131533,..
